Date,Minimum temperature,Maximum temperature,Rainfall,Evaporation,Sunshine,Direction of maximum wind gust ,Speed of maximum wind gust,Time of maximum wind gust,9am Temperature,9am relative humidity,9am cloud amount,9am wind direction,9am wind speed,9am MSL pressure (hPa),3pm Temperature,3pm relative humidity,3pm cloud amount (oktas),3pm wind direction,3pm wind speed
9/11/2023,3,13.4,4.6,,,SSW,33,11:01,5.6,95,,S,15,,12.7,64,,SSW,17
9/12/2023,5.6,13.7,0.2,,,SSW,33,21:30,10.6,100,,W,17,,13.6,84,,SW,11
9/13/2023,6.7,18.1,0.2,,,WNW,31,14:07,8.4,100,,N,9,,17.5,72,,W,13
9/14/2023,8.3,22.9,0.2,,,NE,48,23:41,16.6,61,,W,6,,21.3,40,,NNE,22
9/15/2023,10.4,15.6,1,,,WNW,57,12:15,10.7,100,,W,20,,13.2,73,,WNW,37
9/16/2023,10.2,11.7,1,,,WNW,91,15:51,11.2,100,,WNW,39,,10.9,100,,W,43
9/17/2023,6.7,14.1,10.2,,,WSW,56,0:11,9.3,82,,WSW,24,,12.8,60,,WSW,17
9/18/2023,6.8,15.9,0.8,,,W,39,12:18,10.1,90,,WSW,11,,14.6,53,,W,24
9/19/2023,7.8,16.4,0,,,NW,91,21:04,12.9,81,,NW,28,,11.8,81,,WNW,46
9/20/2023,4.4,10.8,18.8,,,W,72,0:46,6.5,97,,WSW,19,,9.4,74,,WSW,24
9/21/2023,3.8,12,9.4,,,SSW,54,12:51,6.9,100,,SSW,20,,10.2,64,,SSW,24
9/22/2023,2.6,12,0,,,SW,39,12:56,7.8,81,,SW,9,,9.8,71,,SW,20
9/23/2023,4.3,16.9,0.4,,,ENE,37,22:24,10.5,83,,SE,7,,14.6,68,,N,17
9/24/2023,7.5,17,0,,,NE,56,9:38,12.2,74,,NE,33,,12.7,72,,NNE,28
9/25/2023,8.7,15.3,0.2,,,S,61,15:36,13.1,84,,SSE,9,,13.9,59,,S,28
9/26/2023,3.1,15.5,0,,,NE,37,10:07,10.2,53,,ENE,19,,12.8,54,,NNE,13
9/27/2023,6.6,13.9,0.2,,,SW,46,14:42,11.4,70,,NNW,13,,10.5,74,,SW,26
9/28/2023,7.9,11.8,3.8,,,WSW,43,10:53,9.3,100,,SW,17,,10.3,93,,WSW,26
9/29/2023,8.5,17.6,0.6,,,WSW,41,12:57,11.7,98,,SW,20,,16.8,67,,WSW,17
9/30/2023,8.9,16.9,0.2,,,WNW,33,10:12,14.4,100,,NNW,11,,14.3,91,,N,11
10/1/2023,11.6,13.2,2.4,,,WSW,69,11:26,11.6,99,,SW,30,,9.9,100,,SSW,28
10/2/2023,5.2,14.7,2.6,,,NNE,65,14:51,9.1,87,,NNE,24,,14.6,59,,NE,43
10/3/2023,8.2,15.9,1.4,,,ENE,54,1:51,13.6,100,,NNW,24,,13.6,56,,WSW,24
10/4/2023,5.5,17.4,0.2,,,SSW,50,17:25,7.7,89,,S,17,,16,53,,SSW,24
10/5/2023,5.1,12.2,0,,,SSW,69,15:23,8.9,71,,SSW,28,,9.7,100,,SW,22
10/6/2023,3.4,13,3.6,,,SSW,50,11:01,5.2,97,,S,15,,11.8,56,,S,22
10/7/2023,2.7,13.9,0,,,SSW,48,10:43,7.9,81,,S,19,,13.2,60,,S,22
10/8/2023,3.5,16.3,0.2,,,SSW,44,17:25,8.7,77,,SSE,11,,15.5,58,,SSW,22
10/9/2023,4.7,12.6,0.8,,,SSW,44,8:38,7.3,100,,SSW,22,,9.5,93,,SSW,22
10/10/2023,5,17.1,1.8,,,S,28,23:43,8.2,98,,S,13,,14.3,60,,SSW,11
10/11/2023,4.7,18.7,0,,,ENE,52,22:14,7.9,91,,N,11,,18.1,57,,N,22
10/12/2023,7.9,12.5,3.4,,,ENE,56,23:15,8.2,100,,NW,13,,8.9,97,,SW,17
10/13/2023,6.7,13.2,12,,,SSW,59,9:29,8.9,100,,SSW,33,,9.7,100,,SW,24
10/14/2023,8.1,12.8,12,,,SW,83,11:29,8.8,100,,WSW,30,,7.2,88,,SW,41
10/15/2023,3.5,10.8,3.4,,,W,43,12:50,6.1,95,,W,13,,9.2,77,,W,20
10/16/2023,4.1,11.7,8.2,,,S,76,11:22,5.3,99,,SSW,35,,9.6,75,,S,41
